# Data compiled from Morgan (2003)
# atom   state   wavelength   f_jk       damping_coeff   amu       
  Br     I       1540.661     0.0771     2.39E8           79.904    
  Br     I       1488.459     0.0669     2.22E8           79.904    
  Kr     I       1235.838     0.204      2.98e8           83.8      
  Kr     I       1164.8672    0.188      3.09e8           83.8      
  Sr     I       4608.617     2.01       2.10e8           87.62     
  Sr     I       2570.238     0.0166     2.21e8           87.62     
  Sr     I       2428.828     0.0468     1.83e8           87.62     
  Sr     I       2355.029     0.0479     1.92e7           87.62     
  Sr     I       2307.974     0.0288     1.20e7           87.62     
  Sr     II      4216.707     0.334      1.35e8           87.62     
  Sr     II      4078.861     0.701      1.50e8           87.62     
  Sr     II      1793.088     0.0056     1e8              87.62     
  Sr     II      1783.87      6.9E-4     1e8              87.62     
  Y      II      3112.932     0.00654    3.48E8           88.90585  
  Zr     II      3573.4879    0.167      1e8              91.224    
  Zr     II      3389.2675    0.065      1e8              91.224    
  Zr     II      3358.2263    0.046      1e8              91.224    
  Zr     II      3273.1651    0.05       1e8              91.224    
  Zr     II      3285.6581    0.083      1e8              91.224    
  Zr     II      3209.2401    0.01       1e8              91.224    
  Zr     II      2762.693     0.01       1e8              91.224    
  Zr     II      2759.607     0.091      1e8              91.224    
  Zr     II      2743.349     0.204      1e8              91.224    
  Zr     II      2712.306     0.049      1e8              91.224    
  Zr     II      2568.424     0.135      1e8              91.224    
  Zr     II      2551.518     0.05       1e8              91.224    
  Zr     III     1798.048     0.178      6.13e8           91.224    
  Nb     II      2866.452     0.0603     1.75E8           92.90638  
  Nb     II      2668.088     0.0955     3.23E8           92.90638  
  Ru     II      1888.043     0.0293     2.56E8           101.07    
  Pd     II      1403.552     0.0328     8.34E7           106.42    
  Pd     II      1367.7       0.0712     2.54E8           106.42
  Pd     II      1374.843     0.036      1.27E8           106.42
  Pd     II      1320.018     0.122      4.68E8           106.42
  Pd     II      1235.191     0.04       2.62E8           106.42
  Pd     II      1218.618     0.0585     2.63E8           106.42
  Pd     II      1203.96      0.132      4.54E8           106.42
  Ag     II      1195.883     0.0369     3.45E8           107.8682  
  Ag     II      1112.483     0.429      1.20E9           107.8682  
  Ag     II      1107.072     0.382      1.09E9           107.8682
  Cd     II      2265.7152    0.247      3.21E8           112.411
  Cd     II      2145.0697    0.498      3.61E8           112.411
  Sn     II      1400.45      1.09       1e8              118.71
  Hg     II      1649.947     0.83       1e8              200.59
  Pb     II      1433.905     0.87       1e8              207.2
